"sport_id","sport_name","code","gender","season_type","team_count","championship_format","championship_location","championship_date","sponsorship_count","created_at","updated_at","sport_abbrev","scheduled_by_flextime","selection_criteria","rpi_weight","analytics_platform","recruiting_season","transfer_portal_active"
"1","Baseball","BSB","Men","spring","14","Top 12 in Big 12 RS Standings","Arlington, TX - Globe Life Field","May 20, 2025 → May 24, 2025","14","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","BSB","true",,,,,"true"
"2","Men's Basketball","MBB","Men","winter","16","All Teams Compete","Kansas City, MO - T-Mobile Center","March 11, 2025 → March 15, 2025","16","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","MBB","true",,,,,"true"
"3","Women's Basketball","WBB","Women","winter","16","All Teams Compete","Kansas City, MO - T-Mobile Center","March 5, 2025 → March 10, 2025","16","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","WBB","true",,,,,"true"
"4","Beach Volleyball","BVB","Women","spring","4","All Teams Compete","Fort Worth, TX - TCU Beach Volleyball Courts","April 24, 2025 → April 25, 2025","4","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","BVB","false",,,,,"true"
"5","Men's Cross Country","MXC","Men","fall","13","All Teams Compete","Waco, TX - Cottonwood Greek Golf Course","November 1, 2024","13","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","MXC","false",,,,,"true"
"6","Women's Cross Country","WXC","Women","fall","16","All Teams Compete","Waco, TX - Cottonwood Greek Golf Course","November 1, 2024","16","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","WXC","false",,,,,"true"
"7","Equestrian","EQ","Women","spring","4","All Teams Compete","Fort Worth, TX - Bear Creek Farms","March 28, 2025 → March 29, 2025","4","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","EQ","false",,,,,"true"
"8","Football","FB","Men","fall","16","Top 12 in Big 12 RS Standings","Arlington, TX - AT&T Stadium","December 7, 2024","16","2025-05-08 03:03:18.023053","2025-05-08 03:03:18.023053","FB","true",,,,,"true"
"9","Men's Golf","MGO","Men","spring","16","All Teams Compete","Tulsa, OK - The Clubs at Houston Oaks","April 22, 2025 → April 24, 2025","16","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","MGO","false",,,,,"true"
"10","Women's Golf","WGO","Women","spring","14","All Teams Compete","Hockley, TX - Southern Hills Country Club","April 15, 2025 → April 17, 2025","14","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","WGO","false",,,,,"true"
"11","Gymnastics","GYM","Women","winter","7","All Teams Compete","West Valley City, UT - Maverik Center","March 22, 2025","7","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","GYM","true",,,,,"true"
"12","Lacrosse","LAX","Women","spring","6","All Teams Compete","Boulder, CO - Prentup Field","May 1, 2025 → May 3, 2025","6","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","LAX","true",,,,,"true"
"13","Rowing","ROW","Women","spring","6","All Teams Compete","Sarasota, FL - Nathan Benderson Park","May 18, 2025","6","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","ROW","false",,,,,"true"
"14","Soccer","SOC","Women","fall","16","Top 12 in Big 12 RS Standings","Kansas City, MO - CPKC Stadium","October 31, 2024 → November 9, 2024","16","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","SOC","true",,,,,"true"
"15","Softball","SB","Women","spring","11","All Teams Compete","Oklahoma City, OK - USA Softball Hall of Fame Stadium","May 7, 2025 → May 10, 2025","11","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","SB","true",,,,,"true"
"16","Men's Swimming & Diving","MSD","Men","winter","7","All Teams Compete","Federal Way, WA - Weyerhaeuser King County Aquatic Center","February 25, 2025 → March 1, 2025","7","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","MSD","false",,,,,"true"
"17","Women's Swimming & Diving","WSD","Women","winter","10","All Teams Compete","Federal Way, WA - Weyerhaeuser King County Aquatic Center","February 25, 2025 → March 1, 2025","10","2025-05-08 03:03:35.196825","2025-05-08 03:03:35.196825","WSD","false",,,,,"true"
"18","Men's Tennis","MTN","Men","spring","9","All Teams Compete","Waco, TX - Hurd Tennis Center","April 17, 2025 → April 20, 2025","9","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","MTN","true",,,,,"true"
"19","Women's Tennis","WTN","Women","spring","16","All Teams Compete","Waco, TX - Hurd Tennis Center","April 16, 2025 → April 19, 2025","16","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","WTN","true",,,,,"true"
"20","Men's Indoor Track & Field","MITF","Men","winter","13","All Teams Compete","Lubbock, TX - TTU Sports Performance Complex","February 28, 2025 → March 1, 2025","13","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","MITF","false",,,,,"true"
"21","Women's Indoor Track & Field","WITF","Women","winter","16","All Teams Compete","Lubbock, TX - TTU Sports Performance Complex","February 28, 2025 → March 1, 2025","16","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","WITF","false",,,,,"true"
"22","Men's Outdoor Track & Field","MOTF","Men","spring","13","All Teams Compete","Lawrence, KS - Rock Chalk Park","May 15, 2025 → May 17, 2025","13","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","MOTF","false",,,,,"true"
"23","Women's Outdoor Track & Field","WOTF","Women","spring","16","All Teams Compete","Lawrence, KS - Rock Chalk Park","May 15, 2025 → May 17, 2025","16","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","WOTF","false",,,,,"true"
"24","Volleyball","VB","Women","fall","15","All Teams Compete","To Be Determined","To Be Determined","15","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","VB","true",,,,,"true"
"25","Wrestling","WRE","Men","winter","14","All Teams Compete","Tulsa, OK - BOK Center","March 8, 2025 → March 9, 2025","14","2025-05-08 03:03:50.32546","2025-05-08 03:03:50.32546","WRE","true",,,,,"true"